reverberation,scenario,method,score
anech,pink_noise,mono,14
anech,pink_noise,foa,82
anech,pink_noise,param1,78
anech,pink_noise,param2,100
anech,pink_noise,foa_amb_param1,92
anech,pink_noise,foa_amb_param2,100
anech,pink_noise,harpex,100
anech,drums+saw,mono,13
anech,drums+saw,foa,66
anech,drums+saw,param1,84
anech,drums+saw,param2,100
anech,drums+saw,foa_amb_param1,89
anech,drums+saw,foa_amb_param2,100
anech,drums+saw,harpex,100
anech,string_quartet,mono,-2
anech,string_quartet,foa,65
anech,string_quartet,param1,83
anech,string_quartet,param2,95
anech,string_quartet,foa_amb_param1,92
anech,string_quartet,foa_amb_param2,97
anech,string_quartet,harpex,66
anech,two_speakers,mono,1
anech,two_speakers,foa,88
anech,two_speakers,param1,78
anech,two_speakers,param2,100
anech,two_speakers,foa_amb_param1,94
anech,two_speakers,foa_amb_param2,100
anech,two_speakers,harpex,98
anech,speech+noise,mono,-5
anech,speech+noise,foa,75
anech,speech+noise,param1,80
anech,speech+noise,param2,94
anech,speech+noise,foa_amb_param1,90
anech,speech+noise,foa_amb_param2,97
anech,speech+noise,harpex,92
medrev,pink_noise,mono,10
medrev,pink_noise,foa,89
medrev,pink_noise,param1,72
medrev,pink_noise,param2,77
medrev,pink_noise,foa_amb_param1,89
medrev,pink_noise,foa_amb_param2,89
medrev,pink_noise,harpex,91
medrev,drums+saw,mono,12
medrev,drums+saw,foa,77
medrev,drums+saw,param1,38
medrev,drums+saw,param2,41
medrev,drums+saw,foa_amb_param1,78
medrev,drums+saw,foa_amb_param2,78
medrev,drums+saw,harpex,79
medrev,string_quartet,mono,-6
medrev,string_quartet,foa,53
medrev,string_quartet,param1,45
medrev,string_quartet,param2,44
medrev,string_quartet,foa_amb_param1,68
medrev,string_quartet,foa_amb_param2,71
medrev,string_quartet,harpex,57
medrev,two_speakers,mono,3
medrev,two_speakers,foa,91
medrev,two_speakers,param1,67
medrev,two_speakers,param2,70
medrev,two_speakers,foa_amb_param1,89
medrev,two_speakers,foa_amb_param2,89
medrev,two_speakers,harpex,89
medrev,speech+noise,mono,-1
medrev,speech+noise,foa,89
medrev,speech+noise,param1,65
medrev,speech+noise,param2,69
medrev,speech+noise,foa_amb_param1,85
medrev,speech+noise,foa_amb_param2,86
medrev,speech+noise,harpex,87
strongrev,pink_noise,mono,11
strongrev,pink_noise,foa,89
strongrev,pink_noise,param1,59
strongrev,pink_noise,param2,63
strongrev,pink_noise,foa_amb_param1,85
strongrev,pink_noise,foa_amb_param2,85
strongrev,pink_noise,harpex,86
strongrev,drums+saw,mono,-5
strongrev,drums+saw,foa,81
strongrev,drums+saw,param1,30
strongrev,drums+saw,param2,33
strongrev,drums+saw,foa_amb_param1,72
strongrev,drums+saw,foa_amb_param2,72
strongrev,drums+saw,harpex,79
strongrev,string_quartet,mono,-1
strongrev,string_quartet,foa,68
strongrev,string_quartet,param1,32
strongrev,string_quartet,param2,33
strongrev,string_quartet,foa_amb_param1,63
strongrev,string_quartet,foa_amb_param2,62
strongrev,string_quartet,harpex,69
strongrev,two_speakers,mono,2
strongrev,two_speakers,foa,92
strongrev,two_speakers,param1,62
strongrev,two_speakers,param2,63
strongrev,two_speakers,foa_amb_param1,88
strongrev,two_speakers,foa_amb_param2,88
strongrev,two_speakers,harpex,90
strongrev,speech+noise,mono,2
strongrev,speech+noise,foa,89
strongrev,speech+noise,param1,56
strongrev,speech+noise,param2,57
strongrev,speech+noise,foa_amb_param1,84
strongrev,speech+noise,foa_amb_param2,85
strongrev,speech+noise,harpex,87
